Match,Date,Teams,Ground,Result,Team1,Team2,Winner,Win by,Chasing Team
3,2015-04-10,Punjab Kings v Rajasthan Royals,Pune,Rajasthan Royals won by 26 Runs,Punjab Kings,Rajasthan Royals,Rajasthan Royals,26 Runs,Lost
4,2015-04-11,Chennai Super Kings v Sunrisers Hyderabad,Chennai,Chennai Super Kings won by 45 Runs,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,45 Runs,Lost
5,2015-04-11,Kolkata Knight Riders v Royal Challengers Bangalore,Kolkata,Royal Challengers Bangalore won by 3 Wickets,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,3 Wickets,Won
6,2015-04-12,Delhi Capitals v Rajasthan Royals,Delhi,Rajasthan Royals won by 3 Wickets,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,3 Wickets,Won
7,2015-04-12,Mumbai Indians v Punjab Kings,Mumbai,Punjab Kings won by 18 Runs,Mumbai Indians,Punjab Kings,Punjab Kings,18 Runs,Lost
8,2015-04-13,Royal Challengers Bangalore v Sunrisers Hyderabad,Bengaluru,Sunrisers Hyderabad won by 8 Wickets,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,8 Wickets,Won
9,2015-04-14,Rajasthan Royals v Mumbai Indians,Ahmedabad,Rajasthan Royals won by 7 Wickets,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,7 Wickets,Won
10,2015-04-15,Punjab Kings v Delhi Capitals,Pune,Delhi Capitals won by 5 Wickets,Punjab Kings,Delhi Capitals,Delhi Capitals,5 Wickets,Won
11,2015-04-16,Sunrisers Hyderabad v Rajasthan Royals,Visakhapatnam,Rajasthan Royals won by 6 Wickets,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,6 Wickets,Won
12,2015-04-17,Mumbai Indians v Chennai Super Kings,Mumbai,Chennai Super Kings won by 6 Wickets,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,6 Wickets,Won
13,2015-04-18,Sunrisers Hyderabad v Delhi Capitals,Visakhapatnam,Delhi Capitals won by 4 Runs,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,4 Runs,Lost
14,2015-04-18,Punjab Kings v Kolkata Knight Riders,Pune,Kolkata Knight Riders won by 4 Wickets,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,4 Wickets,Won
15,2015-04-19,Rajasthan Royals v Chennai Super Kings,Ahmedabad,Rajasthan Royals won by 8 Wickets,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,8 Wickets,Won
16,2015-04-19,Royal Challengers Bangalore v Mumbai Indians,Bengaluru,Mumbai Indians won by 18 Runs,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,18 Runs,Lost
17,2015-04-20,Delhi Capitals v Kolkata Knight Riders,Delhi,Kolkata Knight Riders won by 6 Wickets,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,6 Wickets,Won
18,2015-04-21,Rajasthan Royals v Punjab Kings,Ahmedabad,Punjab Kings won by Super Over,Rajasthan Royals,Punjab Kings,Punjab Kings,Super Over,Won
19,2015-04-22,Sunrisers Hyderabad v Kolkata Knight Riders,Visakhapatnam,Sunrisers Hyderabad won by 16 Runs [D/L],Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,16 Runs [D/L],Lost
20,2015-04-22,Royal Challengers Bangalore v Chennai Super Kings,Bengaluru,Chennai Super Kings won by 27 Runs,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,27 Runs,Lost
21,2015-04-23,Delhi Capitals v Mumbai Indians,Delhi,Delhi Capitals won by 37 Runs,Delhi Capitals,Mumbai Indians,Delhi Capitals,37 Runs,Lost
22,2015-04-24,Rajasthan Royals v Royal Challengers Bangalore,Ahmedabad,Royal Challengers Bangalore won by 9 Wickets,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,9 Wickets,Won
23,2015-04-25,Mumbai Indians v Sunrisers Hyderabad,Mumbai,Mumbai Indians won by 20 Runs,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,20 Runs,Lost
24,2015-04-25,Chennai Super Kings v Punjab Kings,Chennai,Chennai Super Kings won by 97 Runs,Chennai Super Kings,Punjab Kings,Chennai Super Kings,97 Runs,Lost
26,2015-04-26,Delhi Capitals v Royal Challengers Bangalore,Delhi,Royal Challengers Bangalore won by 10 Wickets,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,10 Wickets,Won
27,2015-04-27,Punjab Kings v Sunrisers Hyderabad,Mohali,Sunrisers Hyderabad won by 20 Runs,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,20 Runs,Lost
