Match,Date,Teams,Ground,Result,Team1,Team2,Winner,Win by,Chasing Team
350,2013-04-21,Punjab Kings v Pune Warriors,Mohali,Punjab Kings won by 7 Wickets,Punjab Kings,Pune Warriors,Punjab Kings,7 Wickets,Won
351,2013-04-22,Chennai Super Kings v Rajasthan Royals,Chennai,Chennai Super Kings won by 5 Wickets,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,5 Wickets,Won
352,2013-04-23,Royal Challengers Bangalore v Pune Warriors,Bengaluru,Royal Challengers Bangalore won by 130 Runs,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,130 Runs,Lost
353,2013-04-23,Delhi Capitals v Punjab Kings,Delhi,Punjab Kings won by 5 Wickets,Delhi Capitals,Punjab Kings,Punjab Kings,5 Wickets,Won
354,2013-04-24,Kolkata Knight Riders v Mumbai Indians,Kolkata,Mumbai Indians won by 5 Wickets,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,5 Wickets,Won
355,2013-04-25,Chennai Super Kings v Sunrisers Hyderabad,Chennai,Chennai Super Kings won by 5 Wickets,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,5 Wickets,Won
356,2013-04-26,Kolkata Knight Riders v Punjab Kings,Kolkata,Kolkata Knight Riders won by 6 Wickets,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,6 Wickets,Won
357,2013-04-27,Sunrisers Hyderabad v Rajasthan Royals,Jaipur,Rajasthan Royals won by 8 Wickets,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,8 Wickets,Won
358,2013-04-27,Mumbai Indians v Royal Challengers Bangalore,Mumbai,Mumbai Indians won by 58 Runs,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,58 Runs,Lost
359,2013-04-28,Chennai Super Kings v Kolkata Knight Riders,Chennai,Chennai Super Kings won by 14 Runs,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,14 Runs,Lost
360,2013-04-28,Delhi Capitals v Pune Warriors,Raipur,Delhi Capitals won by 15 Runs,Delhi Capitals,Pune Warriors,Delhi Capitals,15 Runs,Lost
361,2013-04-29,Rajasthan Royals v Royal Challengers Bangalore,Jaipur,Rajasthan Royals won by 4 Wickets,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,4 Wickets,Won
362,2013-04-29,Mumbai Indians v Punjab Kings,Mumbai,Mumbai Indians won by 4 Runs,Mumbai Indians,Punjab Kings,Mumbai Indians,4 Runs,Lost
363,2013-04-30,Chennai Super Kings v Pune Warriors,Pune,Chennai Super Kings won by 37 Runs,Chennai Super Kings,Pune Warriors,Chennai Super Kings,37 Runs,Lost
364,2013-05-01,Mumbai Indians v Sunrisers Hyderabad,Hyderabad,Sunrisers Hyderabad won by 7 Wickets,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,7 Wickets,Won
365,2013-05-01,Delhi Capitals v Kolkata Knight Riders,Raipur,Delhi Capitals won by 7 Wickets,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,7 Wickets,Won
366,2013-05-02,Chennai Super Kings v Punjab Kings,Chennai,Chennai Super Kings won by 15 Runs,Chennai Super Kings,Punjab Kings,Chennai Super Kings,15 Runs,Lost
367,2013-05-02,Pune Warriors v Royal Challengers Bangalore,Pune,Royal Challengers Bangalore won by 17 Runs,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore,17 Runs,Lost
368,2013-05-03,Kolkata Knight Riders v Rajasthan Royals,Kolkata,Kolkata Knight Riders won by 8 Wickets,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,8 Wickets,Won
369,2013-05-04,Sunrisers Hyderabad v Delhi Capitals,Hyderabad,Sunrisers Hyderabad won by 6 Wickets,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,6 Wickets,Won
370,2013-05-05,Mumbai Indians v Chennai Super Kings,Mumbai,Mumbai Indians won by 60 Runs,Mumbai Indians,Chennai Super Kings,Mumbai Indians,60 Runs,Lost
371,2013-05-05,Rajasthan Royals v Pune Warriors,Jaipur,Rajasthan Royals won by 5 Wickets,Rajasthan Royals,Pune Warriors,Rajasthan Royals,5 Wickets,Won
372,2013-05-06,Punjab Kings v Royal Challengers Bangalore,Mohali,Punjab Kings won by 6 Wickets,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,6 Wickets,Won
373,2013-05-07,Rajasthan Royals v Delhi Capitals,Jaipur,Rajasthan Royals won by 9 Wickets,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,9 Wickets,Won
374,2013-05-07,Mumbai Indians v Kolkata Knight Riders,Mumbai,Mumbai Indians won by 65 Runs,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,65 Runs,Lost
375,2013-05-08,Sunrisers Hyderabad v Chennai Super Kings,Hyderabad,Chennai Super Kings won by 77 Runs,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,77 Runs,Lost
