Match,Date,Teams,Ground,Result,Team1,Team2,Winner,Win by,Chasing Team
810,2020-11-06,Royal Challengers Bangalore v Sunrisers Hyderabad,Abu Dhabi,Sunrisers Hyderabad won by 6 Wickets,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,6 Wickets,Won
811,2020-11-08,Delhi Capitals v Sunrisers Hyderabad,Abu Dhabi,Delhi Capitals won by 17 Runs,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,17 Runs,Lost
812,2020-11-10,Delhi Capitals v Mumbai Indians,Dubai,Mumbai Indians won by 5 Wickets,Delhi Capitals,Mumbai Indians,Mumbai Indians,5 Wickets,Won
813,2021-04-09,Mumbai Indians v Royal Challengers Bangalore,Chennai,Royal Challengers Bangalore won by 2 Wickets,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,2 Wickets,Won
814,2021-04-10,Chennai Super Kings v Delhi Capitals,Mumbai,Delhi Capitals won by 7 Wickets,Chennai Super Kings,Delhi Capitals,Delhi Capitals,7 Wickets,Won
815,2021-04-11,Kolkata Knight Riders v Sunrisers Hyderabad,Chennai,Kolkata Knight Riders won by 10 Runs,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,10 Runs,Lost
816,2021-04-12,Punjab Kings v Rajasthan Royals,Mumbai,Punjab Kings won by 4 Runs,Punjab Kings,Rajasthan Royals,Punjab Kings,4 Runs,Lost
817,2021-04-13,Kolkata Knight Riders v Mumbai Indians,Chennai,Mumbai Indians won by 10 Runs,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,10 Runs,Lost
818,2021-04-14,Royal Challengers Bangalore v Sunrisers Hyderabad,Chennai,Royal Challengers Bangalore won by 6 Runs,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,6 Runs,Lost
819,2021-04-15,Delhi Capitals v Rajasthan Royals,Mumbai,Rajasthan Royals won by 3 Wickets,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,3 Wickets,Won
820,2021-04-16,Chennai Super Kings v Punjab Kings,Mumbai,Chennai Super Kings won by 6 Wickets,Chennai Super Kings,Punjab Kings,Chennai Super Kings,6 Wickets,Won
821,2021-04-17,Mumbai Indians v Sunrisers Hyderabad,Chennai,Mumbai Indians won by 13 Runs,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,13 Runs,Lost
822,2021-04-18,Kolkata Knight Riders v Royal Challengers Bangalore,Chennai,Royal Challengers Bangalore won by 38 Runs,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,38 Runs,Lost
823,2021-04-18,Delhi Capitals v Punjab Kings,Mumbai,Delhi Capitals won by 6 Wickets,Delhi Capitals,Punjab Kings,Delhi Capitals,6 Wickets,Won
824,2021-04-19,Chennai Super Kings v Rajasthan Royals,Mumbai,Chennai Super Kings won by 45 Runs,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,45 Runs,Lost
825,2021-04-20,Delhi Capitals v Mumbai Indians,Chennai,Delhi Capitals won by 6 Wickets,Delhi Capitals,Mumbai Indians,Delhi Capitals,6 Wickets,Won
826,2021-04-21,Punjab Kings v Sunrisers Hyderabad,Chennai,Sunrisers Hyderabad won by 9 Wickets,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,9 Wickets,Won
827,2021-04-21,Chennai Super Kings v Kolkata Knight Riders,Mumbai,Chennai Super Kings won by 18 Runs,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,18 Runs,Lost
828,2021-04-22,Rajasthan Royals v Royal Challengers Bangalore,Mumbai,Royal Challengers Bangalore won by 10 Wickets,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,10 Wickets,Won
829,2021-04-23,Mumbai Indians v Punjab Kings,Chennai,Punjab Kings won by 9 Wickets,Mumbai Indians,Punjab Kings,Punjab Kings,9 Wickets,Won
830,2021-04-24,Kolkata Knight Riders v Rajasthan Royals,Mumbai,Rajasthan Royals won by 6 Wickets,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,6 Wickets,Won
831,2021-04-25,Chennai Super Kings v Royal Challengers Bangalore,Mumbai,Chennai Super Kings won by 69 Runs,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,69 Runs,Lost
832,2021-04-25,Delhi Capitals v Sunrisers Hyderabad,Chennai,Sunrisers Hyderabad won by tie,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,tie,Tie
833,2021-04-26,Kolkata Knight Riders v Punjab Kings,Ahmedabad,Kolkata Knight Riders won by 5 Wickets,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,5 Wickets,Won
834,2021-04-27,Delhi Capitals v Royal Challengers Bangalore,Ahmedabad,Royal Challengers Bangalore won by 1 Run,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,1 Run,Won
835,2021-04-28,Chennai Super Kings v Sunrisers Hyderabad,Delhi,Chennai Super Kings won by 7 Wickets,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,7 Wickets,Won
836,2021-04-29,Mumbai Indians v Rajasthan Royals,Delhi,Mumbai Indians won by 7 Wickets,Mumbai Indians,Rajasthan Royals,Mumbai Indians,7 Wickets,Won
837,2021-04-29,Delhi Capitals v Kolkata Knight Riders,Ahmedabad,Delhi Capitals won by 7 Wickets,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,7 Wickets,Won
838,2021-04-30,Punjab Kings v Royal Challengers Bangalore,Ahmedabad,Punjab Kings won by 34 Runs,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,34 Runs,Lost
839,2021-05-01,Chennai Super Kings v Mumbai Indians,Delhi,Mumbai Indians won by 4 Wickets,Chennai Super Kings,Mumbai Indians,Mumbai Indians,4 Wickets,Won
840,2021-05-02,Rajasthan Royals v Sunrisers Hyderabad,Delhi,Rajasthan Royals won by 55 Runs,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,55 Runs,Lost
841,2021-05-02,Delhi Capitals v Punjab Kings,Ahmedabad,Delhi Capitals won by 7 Wickets,Delhi Capitals,Punjab Kings,Delhi Capitals,7 Wickets,Won
842,2021-09-19,Chennai Super Kings v Mumbai Indians,Dubai,Chennai Super Kings won by 20 Runs,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,20 Runs,Lost
843,2021-09-20,Kolkata Knight Riders v Royal Challengers Bangalore,Abu Dhabi,Kolkata Knight Riders won by 9 Wickets,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,9 Wickets,Won
844,2021-09-21,Punjab Kings v Rajasthan Royals,Dubai,Rajasthan Royals won by 2 Runs,Punjab Kings,Rajasthan Royals,Rajasthan Royals,2 Runs,Lost
845,2021-09-22,Delhi Capitals v Sunrisers Hyderabad,Dubai,Delhi Capitals won by 8 Wickets,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,8 Wickets,Won
846,2021-09-23,Kolkata Knight Riders v Mumbai Indians,Abu Dhabi,Kolkata Knight Riders won by 7 Wickets,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,7 Wickets,Won
847,2021-09-24,Chennai Super Kings v Royal Challengers Bangalore,Sharjah,Chennai Super Kings won by 6 Wickets,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,6 Wickets,Won
848,2021-09-25,Delhi Capitals v Rajasthan Royals,Abu Dhabi,Delhi Capitals won by 33 Runs,Delhi Capitals,Rajasthan Royals,Delhi Capitals,33 Runs,Lost
849,2021-09-25,Punjab Kings v Sunrisers Hyderabad,Sharjah,Punjab Kings won by 5 Runs,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,5 Runs,Lost
850,2021-09-26,Chennai Super Kings v Kolkata Knight Riders,Abu Dhabi,Chennai Super Kings won by 2 Wickets,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,2 Wickets,Won
851,2021-09-26,Mumbai Indians v Royal Challengers Bangalore,Dubai,Royal Challengers Bangalore won by 54 Runs,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,54 Runs,Lost
852,2021-09-27,Rajasthan Royals v Sunrisers Hyderabad,Dubai,Sunrisers Hyderabad won by 7 Wickets,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,7 Wickets,Won
853,2021-09-28,Delhi Capitals v Kolkata Knight Riders,Sharjah,Kolkata Knight Riders won by 3 Wickets,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,3 Wickets,Won
854,2021-09-28,Mumbai Indians v Punjab Kings,Abu Dhabi,Mumbai Indians won by 6 Wickets,Mumbai Indians,Punjab Kings,Mumbai Indians,6 Wickets,Won
855,2021-09-29,Rajasthan Royals v Royal Challengers Bangalore,Dubai,Royal Challengers Bangalore won by 7 Wickets,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,7 Wickets,Won
856,2021-09-30,Chennai Super Kings v Sunrisers Hyderabad,Sharjah,Chennai Super Kings won by 6 Wickets,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,6 Wickets,Won
857,2021-10-01,Kolkata Knight Riders v Punjab Kings,Dubai,Punjab Kings won by 5 Wickets,Kolkata Knight Riders,Punjab Kings,Punjab Kings,5 Wickets,Won
858,2021-10-02,Delhi Capitals v Mumbai Indians,Sharjah,Delhi Capitals won by 4 Wickets,Delhi Capitals,Mumbai Indians,Delhi Capitals,4 Wickets,Won
859,2021-10-02,Chennai Super Kings v Rajasthan Royals,Abu Dhabi,Rajasthan Royals won by 7 Wickets,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,7 Wickets,Won
860,2021-10-03,Punjab Kings v Royal Challengers Bangalore,Sharjah,Royal Challengers Bangalore won by 6 Runs,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,6 Runs,Lost
861,2021-10-03,Kolkata Knight Riders v Sunrisers Hyderabad,Dubai,Kolkata Knight Riders won by 6 Wickets,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,6 Wickets,Won
862,2021-10-04,Chennai Super Kings v Delhi Capitals,Dubai,Delhi Capitals won by 3 Wickets,Chennai Super Kings,Delhi Capitals,Delhi Capitals,3 Wickets,Won
863,2021-10-05,Mumbai Indians v Rajasthan Royals,Sharjah,Mumbai Indians won by 8 Wickets,Mumbai Indians,Rajasthan Royals,Mumbai Indians,8 Wickets,Won
864,2021-10-06,Royal Challengers Bangalore v Sunrisers Hyderabad,Abu Dhabi,Sunrisers Hyderabad won by 4 Runs,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,4 Runs,Lost
865,2021-10-07,Chennai Super Kings v Punjab Kings,Dubai,Punjab Kings won by 6 Wickets,Chennai Super Kings,Punjab Kings,Punjab Kings,6 Wickets,Won
866,2021-10-07,Kolkata Knight Riders v Rajasthan Royals,Sharjah,Kolkata Knight Riders won by 86 Runs,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,86 Runs,Lost
867,2021-10-08,Mumbai Indians v Sunrisers Hyderabad,Abu Dhabi,Mumbai Indians won by 42 Runs,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,42 Runs,Lost
868,2021-10-08,Delhi Capitals v Royal Challengers Bangalore,Dubai,Royal Challengers Bangalore won by 7 Wickets,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,7 Wickets,Won
869,2021-10-10,Chennai Super Kings v Delhi Capitals,Dubai,Chennai Super Kings won by 4 Wickets,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,4 Wickets,Won
870,2021-10-11,Kolkata Knight Riders v Royal Challengers Bangalore,Sharjah,Kolkata Knight Riders won by 4 Wickets,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,4 Wickets,Won
871,2021-10-13,Delhi Capitals v Kolkata Knight Riders,Sharjah,Kolkata Knight Riders won by 3 Wickets,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,3 Wickets,Won
872,2021-10-15,Chennai Super Kings v Kolkata Knight Riders,Dubai,Chennai Super Kings won by 27 Runs,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,27 Runs,Lost
