Match,Date,Ground,Team1,Team2,Winner,Win by,Opponent,Day,csk
100,2009-05-14,Durban,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Chasing,Royal Challengers Bangalore,Thursday,0
103,2009-05-16,Port Elizabeth,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Chasing,Mumbai Indians,Saturday,1
107,2009-05-18,Centurion,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Chasing,Kolkata Knight Riders,Monday,0
110,2009-05-20,Durban,Chennai Super Kings,Punjab Kings,Chennai Super Kings,1st Batting,Punjab Kings,Wednesday,1
114,2009-05-23,Johannesburg,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Chasing,Royal Challengers Bangalore,Saturday,0
120,2010-03-14,Chennai,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,1st Batting,Sunrisers Hyderabad,Sunday,0
123,2010-03-16,Kolkata,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,1st Batting,Kolkata Knight Riders,Tuesday,1
126,2010-03-19,Delhi,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Chasing,Delhi Capitals,Friday,1
131,2010-03-21,Chennai,Chennai Super Kings,Punjab Kings,Punjab Kings,Tie,Punjab Kings,Sunday,0
133,2010-03-23,Bengaluru,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,1st Batting,Royal Challengers Bangalore,Tuesday,0
136,2010-03-25,Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Chasing,Mumbai Indians,Thursday,0
139,2010-03-28,Ahmedabad,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,1st Batting,Rajasthan Royals,Sunday,0
143,2010-03-31,Chennai,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Chasing,Royal Challengers Bangalore,Wednesday,1
147,2010-04-03,Chennai,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,1st Batting,Rajasthan Royals,Saturday,1
152,2010-04-06,Chennai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,1st Batting,Mumbai Indians,Tuesday,1
157,2010-04-10,Nagpur,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Chasing,Sunrisers Hyderabad,Saturday,0
163,2010-04-13,Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Chasing,Kolkata Knight Riders,Tuesday,1
165,2010-04-15,Chennai,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Chasing,Delhi Capitals,Thursday,0
169,2010-04-18,Dharamsala,Punjab Kings,Chennai Super Kings,Chennai Super Kings,Chasing,Punjab Kings,Sunday,1
173,2010-04-22,Mumbai,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,1st Batting,Sunrisers Hyderabad,Thursday,1
175,2010-04-25,Mumbai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,1st Batting,Mumbai Indians,Sunday,1
176,2011-04-08,Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,1st Batting,Kolkata Knight Riders,Friday,1
185,2011-04-13,Mohali,Punjab Kings,Chennai Super Kings,Punjab Kings,Chasing,Punjab Kings,Wednesday,0
189,2011-04-16,Chennai,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,1st Batting,Royal Challengers Bangalore,Saturday,1
193,2011-04-18,Kochi,Kochi Tuskers Kerala,Chennai Super Kings,Kochi Tuskers Kerala,Chasing,Kochi Tuskers Kerala,Monday,0
199,2011-04-22,Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,1st Batting,Mumbai Indians,Friday,0
203,2011-04-25,Chennai,Chennai Super Kings,Pune Warriors,Chennai Super Kings,1st Batting,Pune Warriors,Monday,1
205,2011-04-27,Mumbai,Pune Warriors,Chennai Super Kings,Chennai Super Kings,Chasing,Pune Warriors,Wednesday,1
213,2011-05-01,Chennai,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,1st Batting,Sunrisers Hyderabad,Sunday,1
217,2011-05-04,Chennai,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Chasing,Rajasthan Royals,Wednesday,1
222,2011-05-07,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,1st Batting,Kolkata Knight Riders,Saturday,0
226,2011-05-09,Jaipur,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,1st Batting,Rajasthan Royals,Monday,1
230,2011-05-12,Chennai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,1st Batting,Delhi Capitals,Thursday,1
238,2011-05-18,Chennai,Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,1st Batting,Kochi Tuskers Kerala,Wednesday,1
242,2011-05-22,Bengaluru,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Chasing,Royal Challengers Bangalore,Sunday,0
244,2011-05-24,Mumbai,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Chasing,Royal Challengers Bangalore,Tuesday,1
247,2011-05-28,Chennai,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,1st Batting,Royal Challengers Bangalore,Saturday,1
248,2012-04-04,Chennai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Chasing,Mumbai Indians,Wednesday,0
253,2012-04-07,Visakhapatnam,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,1st Batting,Sunrisers Hyderabad,Saturday,1
258,2012-04-10,Delhi,Delhi Capitals,Chennai Super Kings,Delhi Capitals,Chasing,Delhi Capitals,Tuesday,0
260,2012-04-12,Chennai,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Chasing,Royal Challengers Bangalore,Thursday,1
263,2012-04-14,Pune,Pune Warriors,Chennai Super Kings,Pune Warriors,Chasing,Pune Warriors,Saturday,0
271,2012-04-19,Chennai,Chennai Super Kings,Pune Warriors,Chennai Super Kings,1st Batting,Pune Warriors,Thursday,1
273,2012-04-21,Chennai,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Chasing,Rajasthan Royals,Saturday,1
282,2012-04-28,Chennai,Chennai Super Kings,Punjab Kings,Punjab Kings,1st Batting,Punjab Kings,Saturday,0
286,2012-04-30,Chennai,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Chasing,Kolkata Knight Riders,Monday,0
291,2012-05-04,Chennai,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,1st Batting,Sunrisers Hyderabad,Friday,1
294,2012-05-06,Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Chasing,Mumbai Indians,Sunday,0
301,2012-05-10,Jaipur,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Chasing,Rajasthan Royals,Thursday,1
304,2012-05-12,Chennai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,Chasing,Delhi Capitals,Saturday,1
308,2012-05-14,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Chasing,Kolkata Knight Riders,Monday,1
311,2012-05-17,Dharamsala,Punjab Kings,Chennai Super Kings,Punjab Kings,Chasing,Punjab Kings,Thursday,0
319,2012-05-23,Bengaluru,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,1st Batting,Mumbai Indians,Wednesday,1
320,2012-05-25,Chennai,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,1st Batting,Delhi Capitals,Friday,1
321,2012-05-27,Chennai,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Chasing,Kolkata Knight Riders,Sunday,0
326,2013-04-06,Chennai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,1st Batting,Mumbai Indians,Saturday,0
332,2013-04-10,Mohali,Punjab Kings,Chennai Super Kings,Chennai Super Kings,Chasing,Punjab Kings,Wednesday,1
337,2013-04-13,Chennai,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Chasing,Royal Challengers Bangalore,Saturday,1
340,2013-04-15,Chennai,Chennai Super Kings,Pune Warriors,Pune Warriors,1st Batting,Pune Warriors,Monday,0
345,2013-04-18,Delhi,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,1st Batting,Delhi Capitals,Thursday,1
347,2013-04-20,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Chasing,Kolkata Knight Riders,Saturday,1
351,2013-04-22,Chennai,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Chasing,Rajasthan Royals,Monday,1
355,2013-04-25,Chennai,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Chasing,Sunrisers Hyderabad,Thursday,1
359,2013-04-28,Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,1st Batting,Kolkata Knight Riders,Sunday,1
363,2013-04-30,Pune,Chennai Super Kings,Pune Warriors,Chennai Super Kings,1st Batting,Pune Warriors,Tuesday,1
366,2013-05-02,Chennai,Chennai Super Kings,Punjab Kings,Chennai Super Kings,1st Batting,Punjab Kings,Thursday,1
370,2013-05-05,Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,1st Batting,Mumbai Indians,Sunday,0
375,2013-05-08,Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,1st Batting,Sunrisers Hyderabad,Wednesday,1
382,2013-05-12,Jaipur,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Chasing,Rajasthan Royals,Sunday,0
385,2013-05-14,Chennai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,1st Batting,Delhi Capitals,Tuesday,1
391,2013-05-18,Bengaluru,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,1st Batting,Royal Challengers Bangalore,Saturday,0
394,2013-05-21,Delhi,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,1st Batting,Mumbai Indians,Tuesday,1
397,2013-05-26,Kolkata,Chennai Super Kings,Mumbai Indians,Mumbai Indians,1st Batting,Mumbai Indians,Sunday,0
400,2014-04-18,Abu Dhabi,Chennai Super Kings,Punjab Kings,Punjab Kings,Chasing,Punjab Kings,Friday,0
405,2014-04-21,Abu Dhabi,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,1st Batting,Delhi Capitals,Monday,1
407,2014-04-23,Dubai,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,1st Batting,Rajasthan Royals,Wednesday,1
410,2014-04-25,Dubai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Chasing,Mumbai Indians,Friday,1
414,2014-04-27,Sharjah,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Chasing,Sunrisers Hyderabad,Sunday,1
418,2014-05-02,Ranchi,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,1st Batting,Kolkata Knight Riders,Friday,1
423,2014-05-05,Delhi,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Chasing,Delhi Capitals,Monday,1
426,2014-05-07,Cuttack,Punjab Kings,Chennai Super Kings,Punjab Kings,1st Batting,Punjab Kings,Wednesday,0
430,2014-05-10,Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Chasing,Mumbai Indians,Saturday,1
434,2014-05-13,Ranchi,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Chasing,Rajasthan Royals,Tuesday,1
